no;trial;author;year;tpos;tneg;cpos;cneg;ablat;alloc;logrr;logrrvar;logor;logorvar
1;1;Aronson;1948;4;119;11;128;44;random;-0.889311334;0.325584765;-0.938694119;0.357124954
2;2;Ferguson & Simes;1949;6;300;29;274;55;random;-1.585388657;0.194581121;-1.666190743;0.208132386
3;3;Rosenthal et al;1960;3;228;11;209;42;random;-1.348073148;0.415367965;-1.386294365;0.433413088
4;4;Hart & Sutherland;1977;62;13536;248;12619;52;random;-1.44155119;0.020010032;-1.456443548;0.020314412
5;5;Frimodt-Moller et al;1973;33;5036;47;5761;13;alternate;-0.217547322;0.051210172;-0.219141081;0.051951777
6;6;Stein & Aronson;1953;180;1361;372;1079;44;alternate;-0.786115586;0.006905618;-0.958122015;0.009905266
7;7;Vandiviere et al;1973;8;2537;10;619;19;random;-1.620898224;0.223017248;-1.63377583;0.227009669
8;8;TPT Madras;1980;505;87886;499;87892;13;random;0.011952334;0.003961579;0.012020602;0.004006962
9;9;Coetzee & Berjak;1968;29;7470;45;7232;27;random;-0.469417649;0.05643421;-0.471746027;0.056977123
10;10;Rosenthal et al;1961;17;1699;65;1600;42;systematic;-1.371344803;0.073024794;-1.401210189;0.075421728
11;11;Comstock et al;1974;186;50448;141;27197;18;systematic;-0.339358828;0.012412214;-0.340849638;0.012525134
12;12;Comstock & Webster;1969;5;2493;3;2338;33;systematic;0.445913401;0.532505845;0.44663468;0.534162164
13;13;Comstock et al;1976;27;16886;29;17825;33;systematic;-0.017313948;0.07140466;-0.017341875;0.07163512
